# cfs = cubic feet per second
#
# STATION = U.S. Geological Survey station identification number
# trimQ2   =   2-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ5   =   5-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ10  =  10-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ25  =  25-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ50  =  50-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ100 = 100-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ200 = 200-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ250 = 250-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ500 = 500-year peak streamflow in cfs by trimmed mean as explained in text
#
STATION,trimQ2,trimQ5,trimQ10,trimQ25,trimQ50,trimQ100,trimQ200,trimQ250,trimQ500
08079580,96.45,256,538,1221,2093,3455,5511,6382,10691
08079600,8387,18758,27588,39856,50272,62816,77208,82305,99808
08080500,19691,34670,47248,66286,82778,102908,125594,133560,160797
08080510,101,214,300,421,519,623,736,774,898
08080540,803,2081,3932,8280,13667,21585,33376,39043,63413
08080700,253,1014,2046,4380,7214,11211,17273,20030,31584
08080750,114,256,371,533,678,835,1010,1071,1278
08080918,1449,3183,6057,12775,21180,34140,53334,62007,102885
08080950,987,2114,3146,4706,6061,7812,9902,10664,13355
08081200,3204,5907,7548,9451,10756,11937,13045,13391,14438
08081500,2650,7334,12445,21506,30474,42434,59307,65845,90631
08082000,18750,28292,34064,40780,45408,49731,53803,55067,58859
08082100,578,1326,2002,2986,3838,4924,6208,6672,8304
08082180,1209,3786,7213,15037,24321,37535,58064,67287,105901
08082500,29424,51774,67152,85666,100608,115496,130148,134821,149409
08082700,448,1732,3691,8345,14413,24013,37990,43779,72454
08082900,357,792,1112,1515,1860,2236,2645,2785,3247
08083100,905,2700,4486,7207,9588,12867,16917,18425,23886
08083240,1847,3881,5879,8924,11529,15041,19306,20879,26514
08083245,997,1737,2253,2861,3360,3874,4410,4584,5113
08083400,619,1245,1634,2079,2390,2677,2951,3038,3302
08083420,776,1195,1435,1761,1980,2192,2401,2469,2677
08084000,6390,13090,20309,34066,48789,68750,96919,107787,149495
08084800,1801,4336,7047,12196,18309,26625,38064,42456,59337
08085300,1123,1569,1799,2029,2182,2312,2427,2461,2559
08085500,8077,16168,23410,33912,42966,54403,67842,72688,89641
08086050,4744,7874,9420,11170,12208,13109,13907,14145,14836
08086100,7913,13108,15627,18241,19750,21017,22114,22439,23378
08086150,1097,3880,8307,19248,34336,57661,91868,106344,178276
08086212,6228,18521,34003,66992,110334,177080,276252,319363,494878
08086260,357,464,567,728,868,1061,1297,1386,1704
08086290,3384,6969,10897,18968,28817,42637,63227,71147,101694
08086300,4885,6882,8003,9164,9987,10729,11403,11610,12229
08087300,11255,17906,22315,27782,31875,35865,39819,41087,45017
08088000,26189,44211,56853,73355,86157,99180,112581,116986,130985
08088100,397,1031,1860,3581,5397,7796,11584,13188,19489
08088300,722,1689,2551,3755,4787,6066,7554,8086,9931
08088450,2010,5960,10067,17231,24408,34184,46559,51213,68419
08089000,37812,56206,68036,83117,94105,104901,115985,119610,131048
08089100,26.46,35.89,39.85,43.65,45.73,47.42,48.84,49.24,50.39
08090500,10100,21239,30622,44357,56201,70639,87402,93382,113940
08090850,160,335,452,593,709,828,940,975,1079
08091000,38397,57070,68824,84271,96145,107512,119035,122798,134710
08091500,10907,23695,34983,50316,63462,79327,97572,104045,126315
08091700,1192,2562,3449,4727,5651,6542,7439,7731,8650
08092000,10856,16419,20070,24949,28622,32295,36070,37313,41281
08093200,223,365,437,510,553,589,621,630,657
08093250,3949,7826,10687,13905,16660,19535,22572,23590,26896
08093500,9631,18099,25290,36260,45798,57391,70358,74934,90560
08093700,2431,4649,6522,9319,11857,14728,17995,19141,23053
